review_id,text,my_sentiment,believable_1to3,sounds_ai_yn,notes
R01,"Earlier today the technician left stripped cable jackets all over the server room floor, but management sent a cleanup crew out this afternoon to take care of it.",,,,
R02,"Last week's appointment was delayed twice before anyone arrived, and now we are dealing with an incorrect line item on the invoice for the fiber optic splice.",,,,
R03,Got a clear heads up before the network upgrade started.,,,,
R04,"Access points are working properly now even though the tech showed up late, but they left extra cable ties and trash on the floor.",,,,
R05,"Promptly at the scheduled hour, the inspector arrived to check all patch panels and completed the walkthrough without any delays.",,,,
R06,"New security cameras are physically installed and wired up, though we still need to test the remote viewing feed once the network side finishes updating.",,,,
R07,"Once dispatch called to explain the morning traffic delay, the technician arrived ready to work and completed the access point setup swiftly.",,,,
R08,"Rescheduling the quarterly maintenance took a few extra emails, but the router check is finished.",,,,
R09,"The invoice had a mismatch on the switch licenses, but support sorted it out immediately and everything is completely squared away now.",,,,
R10,"Routing fix is done, please forward the final repair invoice to the accounts payable inbox.",,,,
R11,"During the multi-hour visit while the router was finally replaced, the tech took four separate personal phone calls in the server hallway.",,,,
R12,"By the time the billing discrepancy from the initial switch deployment was sorted out yesterday, coordination with the dispatcher had already cleared up, allowing the cabling updates to finish smoothly.",,,,
R13,"Server repair finished just four hours behind schedule, which really helps when you have an entire office waiting around.",,,,
R14,"Router kept dropping packets again, technician swapped the module and left.",,,,
R15,"Today at noon, the rack installation started over an hour late, though the technician worked quickly once on site to finish the job.",,,,
R16,New security cameras are mounted and wired up while the crew maintained a professional workspace throughout.,,,,
R17,"New access points are up and running, and the crew wrapped up right when they estimated.",,,,
R18,"Early this morning, despite an initial scheduling hiccup that delayed arrival, the crew worked efficiently to finish the firewall upgrade right on time.",,,,
R19,"Replacement of the security camera housing that cracked during the initial mount was handled promptly the very next morning, leaving our entryways fully secured and operational right on schedule.",,,,
R20,"How did the team end up bringing the wrong patch cables for the switch swap, leaving behind cardboard and plastic wrap all over the floor until we swept it up ourselves?",,,,
R21,UPS battery testing finished and the floor was spotless.,,,,
R22,"Cabling was routed across a doorway initially, though it was fixed after I spoke with the lead. Send the final service sign-off paperwork to the main office email.",,,,
R23,Missing paperwork from the previous access point audit delayed our routine inspection sign-off until the office manager could locate the original compliance documents.,,,,
R24,Empty cable spools and packaging debris were left piled up across our main conference table after the switch upgrade wrapped up.,,,,
