review_id,model,spec_id,intended_sentiment,style,incident_severity,incident_type,channel
R01,gemma-4-31b-it,94,negative,sarcastic,serious,equipment_damage,portal
R02,gemma-4-31b-it,74,negative,plain,,,email_survey
R03,gemma-4-31b-it,23,negative,implicit,,,portal
R04,gemma-4-31b-it,18,positive,plain,,,email_survey
R05,gemini-3.5-flash-lite,29,negative,sarcastic,serious,missed_sla,email_survey
R06,gemma-4-31b-it,84,negative,sarcastic,,,portal
R07,gemini-3.5-flash-lite,16,mixed,sarcastic,serious,equipment_damage,email_survey
R08,gemini-3.5-flash-lite,41,mixed,plain,,,email_survey
R09,gemini-3.5-flash-lite,45,neutral,implicit,,,email_survey
R10,gemini-3.5-flash-lite,18,positive,plain,,,email_survey
R11,gemini-3.5-flash-lite,66,neutral,plain,serious,technician_conduct,email_survey
R12,gemini-3.5-flash-lite,73,positive,implicit,serious,missed_sla,email_survey
R13,gemma-4-31b-it,92,positive,plain,serious,equipment_damage,sms_survey
R14,gemma-4-31b-it,16,mixed,sarcastic,serious,equipment_damage,email_survey
R15,gemini-3.5-flash-lite,91,neutral,implicit,serious,repeat_visit_required,email_survey
R16,gemma-4-31b-it,73,positive,implicit,serious,missed_sla,email_survey
R17,gemma-4-31b-it,95,negative,sarcastic,,,email_survey
R18,gemini-3.5-flash-lite,74,negative,plain,,,email_survey
R19,gemma-4-31b-it,48,mixed,plain,serious,repeat_visit_required,email_survey
R20,gemma-4-31b-it,66,neutral,plain,serious,technician_conduct,email_survey
R21,gemini-3.5-flash-lite,95,negative,sarcastic,,,email_survey
R22,gemini-3.5-flash-lite,94,negative,sarcastic,serious,equipment_damage,portal
R23,gemma-4-31b-it,41,mixed,plain,,,email_survey
R24,gemini-3.5-flash-lite,13,negative,plain,minor,missed_sla,sms_survey
R25,gemma-4-31b-it,96,negative,implicit,minor,wrong_dispatch_info,portal
R26,gemini-3.5-flash-lite,42,neutral,plain,,,sms_survey
R27,gemma-4-31b-it,45,neutral,implicit,,,email_survey
R28,gemma-4-31b-it,29,negative,sarcastic,serious,missed_sla,email_survey
R29,gemini-3.5-flash-lite,48,mixed,plain,serious,repeat_visit_required,email_survey
R30,gemma-4-31b-it,13,negative,plain,minor,missed_sla,sms_survey
R31,gemini-3.5-flash-lite,96,negative,implicit,minor,wrong_dispatch_info,portal
R32,gemma-4-31b-it,2,mixed,sarcastic,,,sms_survey
R33,gemini-3.5-flash-lite,2,mixed,sarcastic,,,sms_survey
R34,gemini-3.5-flash-lite,23,negative,implicit,,,portal
R35,gemma-4-31b-it,42,neutral,plain,,,sms_survey
R36,gemini-3.5-flash-lite,61,positive,implicit,,,sms_survey
R37,gemma-4-31b-it,61,positive,implicit,,,sms_survey
R38,gemini-3.5-flash-lite,92,positive,plain,serious,equipment_damage,sms_survey
R39,gemma-4-31b-it,91,neutral,implicit,serious,repeat_visit_required,email_survey
R40,gemini-3.5-flash-lite,84,negative,sarcastic,,,portal
